# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2025-11-01T01:29:00.0/2025-11-01T01:30:00.0;5.6299;3.0200;1.6985;1.3215;6.9528;3.0200;1.6985;1.3215;6.9528;1.0000
2025-11-01T01:30:00.0/2025-11-01T01:31:00.0;5.7223;3.0881;1.7502;1.3379;7.0489;3.0881;1.7502;1.3379;7.0489;1.0000
2025-11-01T01:31:00.0/2025-11-01T01:32:00.0;5.8147;3.1565;1.8024;1.3541;7.1436;3.1565;1.8024;1.3541;7.1436;1.0000
2025-11-01T01:32:00.0/2025-11-01T01:33:00.0;5.9069;3.2250;1.8549;1.3702;7.2370;3.2250;1.8549;1.3702;7.2370;1.0000
2025-11-01T01:33:00.0/2025-11-01T01:34:00.0;5.9989;3.2938;1.9078;1.3860;7.3291;3.2938;1.9078;1.3860;7.3291;1.0000
2025-11-01T01:34:00.0/2025-11-01T01:35:00.0;6.0909;3.3626;1.9610;1.4016;7.4199;3.3626;1.9610;1.4016;7.4199;1.0000
2025-11-01T01:35:00.0/2025-11-01T01:36:00.0;6.1827;3.4317;2.0146;1.4171;7.5095;3.4317;2.0146;1.4171;7.5095;1.0000
2025-11-01T01:36:00.0/2025-11-01T01:37:00.0;6.2744;3.5009;2.0685;1.4324;7.5978;3.5009;2.0685;1.4324;7.5978;1.0000
2025-11-01T01:37:00.0/2025-11-01T01:38:00.0;6.3659;3.5702;2.1227;1.4475;7.6848;3.5702;2.1227;1.4475;7.6848;1.0000
2025-11-01T01:38:00.0/2025-11-01T01:39:00.0;6.4573;3.6397;2.1773;1.4624;7.7707;3.6397;2.1773;1.4624;7.7707;1.0000
2025-11-01T01:39:00.0/2025-11-01T01:40:00.0;6.5486;3.7093;2.2321;1.4772;7.8553;3.7093;2.2321;1.4772;7.8553;1.0000
2025-11-01T01:40:00.0/2025-11-01T01:41:00.0;6.6398;3.7790;2.2872;1.4917;7.9388;3.7790;2.2872;1.4917;7.9388;1.0000
2025-11-01T01:41:00.0/2025-11-01T01:42:00.0;6.7307;3.8488;2.3426;1.5062;8.0212;3.8488;2.3426;1.5062;8.0212;1.0000
2025-11-01T01:42:00.0/2025-11-01T01:43:00.0;6.8216;3.9187;2.3982;1.5204;8.1024;3.9187;2.3982;1.5204;8.1024;1.0000
2025-11-01T01:43:00.0/2025-11-01T01:44:00.0;6.9123;3.9886;2.4542;1.5345;8.1825;3.9886;2.4542;1.5345;8.1825;1.0000
2025-11-01T01:44:00.0/2025-11-01T01:45:00.0;7.0029;4.0587;2.5103;1.5484;8.2614;4.0587;2.5103;1.5484;8.2614;1.0000
2025-11-01T01:45:00.0/2025-11-01T01:46:00.0;7.0933;4.1289;2.5667;1.5622;8.3394;4.1289;2.5667;1.5622;8.3394;1.0000
2025-11-01T01:46:00.0/2025-11-01T01:47:00.0;7.1836;4.1991;2.6233;1.5758;8.4162;4.1991;2.6233;1.5758;8.4162;1.0000
2025-11-01T01:47:00.0/2025-11-01T01:48:00.0;7.2737;4.2694;2.6802;1.5892;8.4920;4.2694;2.6802;1.5892;8.4920;1.0000
2025-11-01T01:48:00.0/2025-11-01T01:49:00.0;7.3637;4.3397;2.7372;1.6025;8.5668;4.3397;2.7372;1.6025;8.5668;1.0000
2025-11-01T01:49:00.0/2025-11-01T01:50:00.0;7.4535;4.4101;2.7945;1.6156;8.6406;4.4101;2.7945;1.6156;8.6406;1.0000
2025-11-01T01:50:00.0/2025-11-01T01:51:00.0;7.5431;4.4805;2.8519;1.6286;8.7134;4.4805;2.8519;1.6286;8.7134;1.0000
2025-11-01T01:51:00.0/2025-11-01T01:52:00.0;7.6326;4.5510;2.9095;1.6415;8.7852;4.5510;2.9095;1.6415;8.7852;1.0000
2025-11-01T01:52:00.0/2025-11-01T01:53:00.0;7.7220;4.6215;2.9673;1.6542;8.8561;4.6215;2.9673;1.6542;8.8561;1.0000
