dhi,dni,ghi,gti,period_end,period
114,1,114,110,2025-11-12 16:30:00+05:30,PT1H
29,0,29,28,2025-11-12 17:30:00+05:30,PT1H
0,0,0,0,2025-11-12 18:30:00+05:30,PT1H
0,0,0,0,2025-11-12 19:30:00+05:30,PT1H
0,0,0,0,2025-11-12 20:30:00+05:30,PT1H
0,0,0,0,2025-11-12 21:30:00+05:30,PT1H
0,0,0,0,2025-11-12 22:30:00+05:30,PT1H
0,0,0,0,2025-11-12 23:30:00+05:30,PT1H
0,0,0,0,2025-11-13 00:30:00+05:30,PT1H
0,0,0,0,2025-11-13 01:30:00+05:30,PT1H
0,0,0,0,2025-11-13 02:30:00+05:30,PT1H
0,0,0,0,2025-11-13 03:30:00+05:30,PT1H
0,0,0,0,2025-11-13 04:30:00+05:30,PT1H
0,0,0,0,2025-11-13 05:30:00+05:30,PT1H
11,0,11,10,2025-11-13 06:30:00+05:30,PT1H
112,0,112,108,2025-11-13 07:30:00+05:30,PT1H
193,337,362,403,2025-11-13 08:30:00+05:30,PT1H
135,767,644,730,2025-11-13 09:30:00+05:30,PT1H
222,676,760,833,2025-11-13 10:30:00+05:30,PT1H
283,613,825,891,2025-11-13 11:30:00+05:30,PT1H
438,307,717,743,2025-11-13 12:30:00+05:30,PT1H
441,11,451,438,2025-11-13 13:30:00+05:30,PT1H
354,14,364,354,2025-11-13 14:30:00+05:30,PT1H
291,225,429,452,2025-11-13 15:30:00+05:30,PT1H
66,0,66,64,2025-11-13 16:30:00+05:30,PT1H
39,0,39,38,2025-11-13 17:30:00+05:30,PT1H
0,0,0,0,2025-11-13 18:30:00+05:30,PT1H
0,0,0,0,2025-11-13 19:30:00+05:30,PT1H
0,0,0,0,2025-11-13 20:30:00+05:30,PT1H
0,0,0,0,2025-11-13 21:30:00+05:30,PT1H
0,0,0,0,2025-11-13 22:30:00+05:30,PT1H
0,0,0,0,2025-11-13 23:30:00+05:30,PT1H
0,0,0,0,2025-11-14 00:30:00+05:30,PT1H
0,0,0,0,2025-11-14 01:30:00+05:30,PT1H
0,0,0,0,2025-11-14 02:30:00+05:30,PT1H
0,0,0,0,2025-11-14 03:30:00+05:30,PT1H
0,0,0,0,2025-11-14 04:30:00+05:30,PT1H
0,0,0,0,2025-11-14 05:30:00+05:30,PT1H
7,0,7,7,2025-11-14 06:30:00+05:30,PT1H
98,0,98,95,2025-11-14 07:30:00+05:30,PT1H
243,25,257,252,2025-11-14 08:30:00+05:30,PT1H
320,271,500,530,2025-11-14 09:30:00+05:30,PT1H
228,657,756,829,2025-11-14 10:30:00+05:30,PT1H
208,756,875,956,2025-11-14 11:30:00+05:30,PT1H
282,630,853,921,2025-11-14 12:30:00+05:30,PT1H
404,327,691,721,2025-11-14 13:30:00+05:30,PT1H
291,0,291,281,2025-11-14 14:30:00+05:30,PT1H
174,0,174,168,2025-11-14 15:30:00+05:30,PT1H
104,0,104,101,2025-11-14 16:30:00+05:30,PT1H
71,11,73,73,2025-11-14 17:30:00+05:30,PT1H
0,0,0,0,2025-11-14 18:30:00+05:30,PT1H
0,0,0,0,2025-11-14 19:30:00+05:30,PT1H
0,0,0,0,2025-11-14 20:30:00+05:30,PT1H
0,0,0,0,2025-11-14 21:30:00+05:30,PT1H
0,0,0,0,2025-11-14 22:30:00+05:30,PT1H
0,0,0,0,2025-11-14 23:30:00+05:30,PT1H
0,0,0,0,2025-11-15 00:30:00+05:30,PT1H
0,0,0,0,2025-11-15 01:30:00+05:30,PT1H
0,0,0,0,2025-11-15 02:30:00+05:30,PT1H
0,0,0,0,2025-11-15 03:30:00+05:30,PT1H
0,0,0,0,2025-11-15 04:30:00+05:30,PT1H
0,0,0,0,2025-11-15 05:30:00+05:30,PT1H
10,0,10,9,2025-11-15 06:30:00+05:30,PT1H
104,207,159,187,2025-11-15 07:30:00+05:30,PT1H
221,23,230,226,2025-11-15 08:30:00+05:30,PT1H
219,0,219,211,2025-11-15 09:30:00+05:30,PT1H
296,0,296,286,2025-11-15 10:30:00+05:30,PT1H
450,0,450,434,2025-11-15 11:30:00+05:30,PT1H
353,0,353,340,2025-11-15 12:30:00+05:30,PT1H
458,6,463,448,2025-11-15 13:30:00+05:30,PT1H
388,141,499,506,2025-11-15 14:30:00+05:30,PT1H
291,3,293,283,2025-11-15 15:30:00+05:30,PT1H
146,0,146,141,2025-11-15 16:30:00+05:30,PT1H
67,3,67,66,2025-11-15 17:30:00+05:30,PT1H
0,0,0,0,2025-11-15 18:30:00+05:30,PT1H
0,0,0,0,2025-11-15 19:30:00+05:30,PT1H
0,0,0,0,2025-11-15 20:30:00+05:30,PT1H
0,0,0,0,2025-11-15 21:30:00+05:30,PT1H
0,0,0,0,2025-11-15 22:30:00+05:30,PT1H
0,0,0,0,2025-11-15 23:30:00+05:30,PT1H
0,0,0,0,2025-11-16 00:30:00+05:30,PT1H
0,0,0,0,2025-11-16 01:30:00+05:30,PT1H
0,0,0,0,2025-11-16 02:30:00+05:30,PT1H
0,0,0,0,2025-11-16 03:30:00+05:30,PT1H
0,0,0,0,2025-11-16 04:30:00+05:30,PT1H
0,0,0,0,2025-11-16 05:30:00+05:30,PT1H
13,0,13,12,2025-11-16 06:30:00+05:30,PT1H
119,75,140,148,2025-11-16 07:30:00+05:30,PT1H
190,361,357,405,2025-11-16 08:30:00+05:30,PT1H
304,295,492,525,2025-11-16 09:30:00+05:30,PT1H
446,105,528,529,2025-11-16 10:30:00+05:30,PT1H
462,16,476,462,2025-11-16 11:30:00+05:30,PT1H
440,0,440,425,2025-11-16 12:30:00+05:30,PT1H
382,0,382,369,2025-11-16 13:30:00+05:30,PT1H
261,0,261,252,2025-11-16 14:30:00+05:30,PT1H
174,0,174,167,2025-11-16 15:30:00+05:30,PT1H
107,0,107,103,2025-11-16 16:30:00+05:30,PT1H
64,0,64,61,2025-11-16 17:30:00+05:30,PT1H
0,0,0,0,2025-11-16 18:30:00+05:30,PT1H
0,0,0,0,2025-11-16 19:30:00+05:30,PT1H
0,0,0,0,2025-11-16 20:30:00+05:30,PT1H
0,0,0,0,2025-11-16 21:30:00+05:30,PT1H
0,0,0,0,2025-11-16 22:30:00+05:30,PT1H
0,0,0,0,2025-11-16 23:30:00+05:30,PT1H
0,0,0,0,2025-11-17 00:30:00+05:30,PT1H
0,0,0,0,2025-11-17 01:30:00+05:30,PT1H
0,0,0,0,2025-11-17 02:30:00+05:30,PT1H
0,0,0,0,2025-11-17 03:30:00+05:30,PT1H
0,0,0,0,2025-11-17 04:30:00+05:30,PT1H
0,0,0,0,2025-11-17 05:30:00+05:30,PT1H
9,0,9,9,2025-11-17 06:30:00+05:30,PT1H
91,269,162,199,2025-11-17 07:30:00+05:30,PT1H
211,234,321,350,2025-11-17 08:30:00+05:30,PT1H
254,411,519,570,2025-11-17 09:30:00+05:30,PT1H
403,207,566,585,2025-11-17 10:30:00+05:30,PT1H
499,72,561,555,2025-11-17 11:30:00+05:30,PT1H
449,0,449,433,2025-11-17 12:30:00+05:30,PT1H
265,0,265,256,2025-11-17 13:30:00+05:30,PT1H
283,0,283,273,2025-11-17 14:30:00+05:30,PT1H
138,0,138,134,2025-11-17 15:30:00+05:30,PT1H
76,0,76,73,2025-11-17 16:30:00+05:30,PT1H
40,0,40,39,2025-11-17 17:30:00+05:30,PT1H
0,0,0,0,2025-11-17 18:30:00+05:30,PT1H
0,0,0,0,2025-11-17 19:30:00+05:30,PT1H
0,0,0,0,2025-11-17 20:30:00+05:30,PT1H
0,0,0,0,2025-11-17 21:30:00+05:30,PT1H
0,0,0,0,2025-11-17 22:30:00+05:30,PT1H
0,0,0,0,2025-11-17 23:30:00+05:30,PT1H
0,0,0,0,2025-11-18 00:30:00+05:30,PT1H
0,0,0,0,2025-11-18 01:30:00+05:30,PT1H
0,0,0,0,2025-11-18 02:30:00+05:30,PT1H
0,0,0,0,2025-11-18 03:30:00+05:30,PT1H
0,0,0,0,2025-11-18 04:30:00+05:30,PT1H
0,0,0,0,2025-11-18 05:30:00+05:30,PT1H
10,6,11,11,2025-11-18 06:30:00+05:30,PT1H
88,234,156,188,2025-11-18 07:30:00+05:30,PT1H
188,330,346,389,2025-11-18 08:30:00+05:30,PT1H
309,230,449,473,2025-11-18 09:30:00+05:30,PT1H
371,0,371,358,2025-11-18 10:30:00+05:30,PT1H
378,0,378,365,2025-11-18 11:30:00+05:30,PT1H
317,0,317,306,2025-11-18 12:30:00+05:30,PT1H
297,0,297,287,2025-11-18 13:30:00+05:30,PT1H
195,0,195,188,2025-11-18 14:30:00+05:30,PT1H
203,0,203,196,2025-11-18 15:30:00+05:30,PT1H
121,0,121,117,2025-11-18 16:30:00+05:30,PT1H
53,0,53,52,2025-11-18 17:30:00+05:30,PT1H
0,0,0,0,2025-11-18 18:30:00+05:30,PT1H
0,0,0,0,2025-11-18 19:30:00+05:30,PT1H
0,0,0,0,2025-11-18 20:30:00+05:30,PT1H
0,0,0,0,2025-11-18 21:30:00+05:30,PT1H
0,0,0,0,2025-11-18 22:30:00+05:30,PT1H
0,0,0,0,2025-11-18 23:30:00+05:30,PT1H
0,0,0,0,2025-11-19 00:30:00+05:30,PT1H
0,0,0,0,2025-11-19 01:30:00+05:30,PT1H
0,0,0,0,2025-11-19 02:30:00+05:30,PT1H
0,0,0,0,2025-11-19 03:30:00+05:30,PT1H
0,0,0,0,2025-11-19 04:30:00+05:30,PT1H
0,0,0,0,2025-11-19 05:30:00+05:30,PT1H
10,37,14,19,2025-11-19 06:30:00+05:30,PT1H
86,329,170,218,2025-11-19 07:30:00+05:30,PT1H
123,607,403,484,2025-11-19 08:30:00+05:30,PT1H
223,522,560,627,2025-11-19 09:30:00+05:30,PT1H
296,492,683,743,2025-11-19 10:30:00+05:30,PT1H
374,275,610,636,2025-11-19 11:30:00+05:30,PT1H
232,0,232,224,2025-11-19 12:30:00+05:30,PT1H
213,0,213,205,2025-11-19 13:30:00+05:30,PT1H
340,9,347,336,2025-11-19 14:30:00+05:30,PT1H
220,0,220,212,2025-11-19 15:30:00+05:30,PT1H
145,0,145,140,2025-11-19 16:30:00+05:30,PT1H
70,19,73,73,2025-11-19 17:30:00+05:30,PT1H
0,0,0,0,2025-11-19 18:30:00+05:30,PT1H
0,0,0,0,2025-11-19 19:30:00+05:30,PT1H
0,0,0,0,2025-11-19 20:30:00+05:30,PT1H
0,0,0,0,2025-11-19 21:30:00+05:30,PT1H
0,0,0,0,2025-11-19 22:30:00+05:30,PT1H
0,0,0,0,2025-11-19 23:30:00+05:30,PT1H
0,0,0,0,2025-11-20 00:30:00+05:30,PT1H
0,0,0,0,2025-11-20 01:30:00+05:30,PT1H
0,0,0,0,2025-11-20 02:30:00+05:30,PT1H
0,0,0,0,2025-11-20 03:30:00+05:30,PT1H
0,0,0,0,2025-11-20 04:30:00+05:30,PT1H
0,0,0,0,2025-11-20 05:30:00+05:30,PT1H
11,42,15,21,2025-11-20 06:30:00+05:30,PT1H
49,604,197,282,2025-11-20 07:30:00+05:30,PT1H
67,813,439,544,2025-11-20 08:30:00+05:30,PT1H
180,643,582,661,2025-11-20 09:30:00+05:30,PT1H
402,18,415,404,2025-11-20 10:30:00+05:30,PT1H
411,270,650,675,2025-11-20 11:30:00+05:30,PT1H
381,59,434,431,2025-11-20 12:30:00+05:30,PT1H
